Date,Time,Latitude,Longitude,Altitude,Residual Error,Clock Error,Cumulative Clock Error,# Sats Used,# Sats Provided,
17/02/2007,13:44:05:856,-54.122022,-38.339284,20,20.222544,-0.2,-0.29,8,8,(rownum 163)
17/02/2007,14:00:00:576,-54.121946,-38.33878,20,10.857094,0.33,-0.29,5,8,(rownum 165)
17/02/2007,14:15:08:640,-54.120912,-38.336823,20,11.814459,-0.05,-0.34,7,7,(rownum 166)
17/02/2007,14:30:38:304,-54.120587,-38.332279,20,7.3387,0.59,-0.34,5,5,(rownum 167)
17/02/2007,14:45:08:352,-54.122465,-38.331193,20,23.13659,0.77,0.43,8,8,(rownum 168)
17/02/2007,15:00:00:864,-54.123337,-38.327183,20,0.537454,-0.35,0.43,4,4,(rownum 169)
17/02/2007,15:15:08:928,-54.123383,-38.323566,20,15.473669,-0.14,0.29,7,7,(rownum 170)
17/02/2007,15:30:09:216,-54.123222,-38.32365,20,14.635076,-0.06,0.23,6,6,(rownum 171)
17/02/2007,16:16:33:24,-54.119579,-38.321606,20,12.039519,0.74,0.23,5,5,(rownum 172)
17/02/2007,16:33:04:896,-54.1175,-38.318772,20,21.103573,-0.77,-0.54,8,8,(rownum 175)
17/02/2007,17:07:01:344,-54.120177,-38.308398,20,15.753182,1.28,0.74,8,8,(rownum 181)
17/02/2007,17:38:04:128,-54.121801,-38.304379,20,18.918324,-0.62,0.12,7,7,(rownum 184)
17/02/2007,17:53:07:8,-54.122141,-38.302808,20,16.708093,0.59,0.71,7,7,(rownum 185)
17/02/2007,18:11:00:960,-54.12449,-38.303129,20,21.085386,-1,-0.29,6,7,(rownum 189)
17/02/2007,18:44:00:384,-54.140495,-38.305752,20,13.744575,0.29,-0.29,5,6,(rownum 194)
17/02/2007,19:17:02:400,-54.149725,-38.304877,20,24.214249,0.06,-0.23,7,7,(rownum 199)
17/02/2007,19:35:11:904,-54.154302,-38.307204,20,19.519417,-0.08,-0.31,7,7,(rownum 203)
17/02/2007,19:52:01:56,-54.155701,-38.303796,20,0.610684,1.1,-0.31,4,4,(rownum 206)
17/02/2007,20:07:04:800,-54.156045,-38.309213,20,11.365566,-0.13,-0.44,7,7,(rownum 207)
17/02/2007,20:24:33:696,-54.155858,-38.315171,20,14.661091,0.68,0.24,6,6,(rownum 208)
17/02/2007,20:57:28:800,-54.155306,-38.32115,20,14.048036,-0.13,0.11,7,7,(rownum 211)
17/02/2007,21:14:07:584,-54.155095,-38.326585,20,23.466354,-0.19,-0.08,8,8,(rownum 214)
17/02/2007,21:29:00:96,-54.15501,-38.329125,20,11.380349,0.25,0.17,8,8,(rownum 215)
17/02/2007,21:45:00:0,-54.155251,-38.33232,20,16.961046,0.56,0.73,7,8,(rownum 217)
17/02/2007,22:17:07:584,-54.155675,-38.340701,20,20.486366,-1.07,-0.34,7,7,(rownum 221)
17/02/2007,22:32:00:960,-54.155093,-38.344008,20,1.996374,0.11,-0.23,6,7,(rownum 222)
17/02/2007,22:49:02:208,-54.156322,-38.347832,20,0.311755,0.78,-0.23,4,4,(rownum 225)
