Date,Time,Latitute,Longitude,Temperature,Nav State,Altitude,N Velocity,E Velocity,D Velocity,PDOP,SV Count
27/03/2006,16:41:59,-54.01152675,-38.05501485,23.25,1,-3,0,0,0,6,6
27/03/2006,16:42:29,-54.01093121,-38.05465068,23,1,0,0,0,0,6,6
27/03/2006,16:42:59,-54.01127609,-38.05542597,23,1,0,0,0,0,6,6
27/03/2006,16:43:29,-54.01128707,-38.05572187,23.25,1,0,0,0,0,6,6
27/03/2006,16:43:59,-54.01041732,-38.05435577,23.5,1,0,0,0,0,6,6
27/03/2006,16:44:29,-54.0103747,-38.05504236,23.25,1,0,0,0,0,7,5
27/03/2006,16:44:59,-54.01061468,-38.05424262,23.25,3,-39,0,0,0,1000,0
27/03/2006,16:45:29,-54.01061468,-38.05424262,23.25,3,-39,0,0,0,1000,0
27/03/2006,16:45:59,-54.01107922,-38.0549373,23.25,1,0,0,0,0,6,6
27/03/2006,16:46:29,-54.01061468,-38.05424262,23.75,3,-39,0,0,0,1000,0
27/03/2006,16:46:59,-54.01054982,-38.05451386,23.25,1,0,0,0,0,6,5
27/03/2006,16:47:29,-54.00993897,-38.05517321,23.75,3,0,0,0,0,484,3
27/03/2006,16:47:59,-54.00978012,-38.0546347,23.25,1,0,0,0,0,12,4
27/03/2006,16:48:29,-54.01051632,-38.05310532,23.25,3,0,0,0,0,433,3
27/03/2006,16:48:59,-54.00987236,-38.0537664,23.25,1,0,0,0,0,7,4
27/03/2006,16:49:29,-54.0098818,-38.05418831,23.75,1,0,0,0,0,12,4
27/03/2006,16:49:59,-54.01086066,-38.05525361,23.75,1,0,0,0,0,6,4
27/03/2006,16:50:29,-54.01069182,-38.05445422,24,1,0,0,0,0,5,5
27/03/2006,16:50:59,-54.01015511,-38.05439001,23.5,1,0,0,0,0,6,5
27/03/2006,16:51:29,-54.01057115,-38.0539318,23.25,1,0,0,0,0,6,5
27/03/2006,16:51:59,-54.01061468,-38.05424262,23.5,3,-39,0,0,0,1000,0
27/03/2006,16:52:29,-54.01112746,-38.05478897,23.25,1,0,0,0,0,16,5
27/03/2006,16:52:59,-54.01059043,-38.05497724,23.25,1,0,0,0,0,5,6
27/03/2006,16:53:29,-54.0113671,-38.05518657,23.25,1,0,0,0,0,5,6
27/03/2006,16:53:59,-54.01061468,-38.05424262,23,3,-39,0,0,0,1000,0
27/03/2006,16:54:29,-54.01061468,-38.05424262,23.25,3,-39,0,0,0,1000,0
27/03/2006,16:54:59,-54.01105836,-38.05372375,23.25,1,0,0,0,0,4,5
27/03/2006,16:55:29,-54.01103837,-38.05541621,23.25,3,0,0,0,0,43,4
27/03/2006,16:55:59,-54.01215398,-38.05561905,23.25,1,0,0,0,0,8,5
27/03/2006,16:56:29,-54.01079042,-38.05477694,23.25,1,0,0,0,0,5,6
27/03/2006,16:56:59,-54.01153477,-38.05510772,22.75,1,15,0,0,0,5,6
27/03/2006,16:57:29,-54.01101863,-38.0538055,22.25,1,0,0,0,0,28,4
27/03/2006,16:57:59,-54.01088657,-38.0538788,22.25,1,0,0,0,0,9,5
27/03/2006,16:58:29,-54.0123817,-38.05518404,21.75,1,0,0,0,0,9,5
27/03/2006,16:58:59,-54.01129433,-38.0540229,21.75,0,209,0,0,0,5,6
27/03/2006,16:59:29,-54.01190367,-38.05505749,21.25,1,209,0,0,0,9,5
27/03/2006,16:59:59,-54.01102444,-38.05413613,21,0,134,0,0,0,5,6
27/03/2006,17:00:29,-54.01016003,-38.05333274,20.75,1,134,0,0,0,9,5
27/03/2006,17:00:59,-54.01088559,-38.0539981,20.25,0,168,0,0,0,5,6
27/03/2006,17:01:29,-54.01141138,-38.05382302,19.75,1,168,0,0,0,13,5
27/03/2006,17:01:59,-54.01165481,-38.05477217,19.75,1,172,0,0,0,9,5
27/03/2006,17:02:29,-54.01184373,-38.05439447,19.25,1,168,0,0,0,9,5
27/03/2006,17:02:59,-54.01076401,-38.05434371,19.25,1,168,0,0,0,10,5
27/03/2006,17:03:29,-54.01159799,-38.05387714,18.75,1,168,0,0,0,10,5
27/03/2006,17:03:59,-54.0110522,-38.05436299,18.5,1,164,0,0,0,10,5
27/03/2006,17:04:29,-54.01088559,-38.0539981,18.5,3,168,0,0,0,1000,0
27/03/2006,17:04:59,-54.0120562,-38.05474719,18.5,1,168,0,0,0,10,5
27/03/2006,17:05:29,-54.01088559,-38.0539981,18.25,3,168,0,0,0,1000,1
27/03/2006,17:05:59,-54.01502731,-38.05106135,18.25,3,168,0,0,0,2971,3
27/03/2006,17:06:29,-54.01150764,-38.05463216,18.5,1,168,0,0,0,10,5
27/03/2006,17:06:59,-54.01107061,-38.05438752,18.25,1,168,0,0,0,10,5
27/03/2006,17:07:29,-54.01269886,-38.05549785,18.25,1,168,0,0,0,18,4
27/03/2006,17:07:59,-54.01079365,-38.05406988,18.75,1,168,0,0,0,10,5
27/03/2006,17:08:29,-54.01214503,-38.05500488,18.75,1,168,0,0,0,17,4
27/03/2006,17:08:59,-54.01088559,-38.0539981,18.5,3,168,0,0,0,1000,2
27/03/2006,17:09:29,-54.01187286,-38.05521524,18.5,1,168,0,0,0,10,5
27/03/2006,17:09:59,-54.01265141,-38.05541651,18.25,1,168,0,0,0,17,4
27/03/2006,17:10:29,-54.01206994,-38.05567547,18.25,1,168,0,0,0,9,5
27/03/2006,17:10:59,-54.01095937,-38.0546122,17.75,1,168,0,0,0,9,5
27/03/2006,17:11:29,-54.01183225,-38.05478142,17.5,1,168,0,0,0,14,4
27/03/2006,17:11:59,-54.0137976,-38.05674886,17.5,1,168,0,0,0,25,3
27/03/2006,17:12:29,-54.01120176,-38.05427717,17.5,1,168,0,0,0,17,4
27/03/2006,17:12:59,-54.01088559,-38.0539981,17.25,3,168,0,0,0,1000,2
27/03/2006,17:13:29,-54.01184656,-38.05531676,17.25,1,168,0,0,0,24,3
27/03/2006,17:13:59,-54.01275183,-38.05570149,17.25,1,168,0,0,0,9,5
27/03/2006,17:14:29,-54.01156392,-38.05488992,17.5,1,167,0,0,0,9,5
27/03/2006,17:14:59,-54.01161888,-38.055511,17.25,1,168,0,0,0,9,5
27/03/2006,17:15:29,-54.01154457,-38.05459865,17.5,1,168,0,0,0,9,5
27/03/2006,17:15:59,-54.01131168,-38.05450881,17.75,1,168,0,0,0,9,5
27/03/2006,17:16:29,-54.01139323,-38.05461904,17.25,1,168,0,0,0,9,5
27/03/2006,17:16:59,-54.01189518,-38.0557932,17.5,1,168,0,0,0,19,4
27/03/2006,17:17:29,-54.01150584,-38.05544464,17.25,1,168,0,0,0,12,4
27/03/2006,17:17:59,-54.01184744,-38.05520994,17,1,168,0,0,0,19,4
27/03/2006,17:18:29,-54.01230429,-38.0552766,16.75,1,168,0,0,0,24,3
27/03/2006,17:18:59,-54.01192217,-38.05524853,17.25,1,152,0,0,0,19,4
27/03/2006,17:19:29,-54.01310938,-38.05613332,16.75,1,168,0,0,0,24,3
27/03/2006,17:19:59,-54.01094329,-38.05398419,17,1,168,0,0,0,9,5
27/03/2006,17:20:29,-54.0116591,-38.05511244,16.5,1,168,0,0,0,17,4
27/03/2006,17:20:59,-54.01102127,-38.05356704,16.75,1,168,0,0,0,9,5
27/03/2006,17:21:29,-54.01153166,-38.05492023,16.75,1,168,0,0,0,8,5
27/03/2006,17:21:59,-54.01061629,-38.05367548,16.5,1,168,0,0,0,8,5
27/03/2006,17:22:29,-54.01087433,-38.05405111,16.25,1,168,0,0,0,8,5
27/03/2006,17:22:59,-54.01187471,-38.05454112,16,1,168,0,0,0,18,4
27/03/2006,17:23:29,-54.00991069,-38.05240548,16,1,107,0,0,0,8,5
27/03/2006,17:23:59,-54.0121636,-38.05505358,16,1,168,0,0,0,23,3
27/03/2006,17:24:29,-54.01088559,-38.0539981,16,3,168,0,0,0,1000,0
27/03/2006,17:24:59,-54.01088559,-38.0539981,16,3,168,0,0,0,1000,0
27/03/2006,17:25:29,-54.01000444,-38.05397184,16,1,168,0,0,0,21,4
27/03/2006,17:25:59,-54.01285669,-38.05601933,16,1,168,0,0,0,20,4
27/03/2006,17:26:29,-54.01088559,-38.0539981,15.75,3,168,0,0,0,1000,0
27/03/2006,17:26:59,-54.01104228,-38.05518741,16.25,1,125,0,0,0,8,5
27/03/2006,17:27:29,-54.01088559,-38.0539981,16.25,3,168,0,0,0,1000,0
27/03/2006,17:27:59,-54.01088559,-38.0539981,16,3,168,0,0,0,1000,0
27/03/2006,17:28:29,-54.0089276,-38.05323331,16.5,1,168,0,0,0,23,4
27/03/2006,17:28:59,-54.01126614,-38.05430851,16.5,1,182,0,0,0,7,5
27/03/2006,17:29:29,-54.01088559,-38.0539981,17,3,168,0,0,0,1000,0
27/03/2006,17:29:59,-54.01088559,-38.0539981,17.25,3,168,0,0,0,1000,0
27/03/2006,17:30:29,-54.01088559,-38.0539981,17.25,3,168,0,0,0,1000,0
27/03/2006,17:30:59,-54.01088559,-38.0539981,17.5,3,168,0,0,0,1000,0
27/03/2006,17:31:29,-54.01088559,-38.0539981,17.5,3,168,0,0,0,1000,0
27/03/2006,17:31:59,-54.01063282,-38.05445463,18.25,1,168,0,0,0,7,5
27/03/2006,17:32:29,-54.01061444,-38.05339139,17.75,1,168,0,0,0,6,5
27/03/2006,17:32:59,-54.01053257,-38.05395536,17.75,1,168,0,0,0,7,5
27/03/2006,17:33:29,-54.01115274,-38.05389439,17.75,1,168,0,0,0,6,5
27/03/2006,17:33:59,-54.01088559,-38.0539981,18,3,168,0,0,0,1000,0
27/03/2006,17:34:29,-54.01169944,-38.05516616,18.25,1,187,0,0,0,7,5
27/03/2006,17:34:59,-54.01095942,-38.05443607,18,0,162,0,0,0,5,6
27/03/2006,17:35:29,-54.01032988,-38.05342361,17.75,1,162,0,0,0,7,5
27/03/2006,17:35:59,-54.0112028,-38.05521515,18,1,162,0,0,0,28,4
27/03/2006,17:36:29,-54.01194399,-38.0556066,18.25,1,162,0,0,0,29,4
27/03/2006,17:36:59,-54.01095942,-38.05443607,18.25,3,162,0,0,0,1000,0
27/03/2006,17:37:29,-54.01095942,-38.05443607,18.25,3,162,0,0,0,1000,0
27/03/2006,17:37:59,-54.00971616,-38.05375993,18.25,3,132,0,0,0,30,4
27/03/2006,17:38:29,-54.01471217,-38.0570518,18.25,1,162,0,0,0,28,4
27/03/2006,17:38:59,-54.01045982,-38.05388165,18.5,1,162,0,0,0,15,4
